"Shim ReStackor Calc", , , , , ,"ReStackor pro Calc"
" Fstack"," Yport"," A.clsd"," A.clk"," A.wo", ," U.clk"," U.wo"," U.clsd"," Gv"," Fstack"," Fshaft"," Pressure",          ," C.clk"," C.wo"," C.clsd"
" [kgf]"," [mm]"," [mm2]"," [mm2]"," [mm2]", ," [m/sec]"," [m/sec]"," [m/sec]"," [L/min]"," [kgf]"," [kgf]"," [kpa]", ," [kgf-s/m]"," [kgf-s/m]"," [kgf-s/m]"
 0.0000000000000, 0.0000000000000, 0.0000000000000, 3.9721399777862, 6.8093884465362 , , 0.0973899883223, 0.1675262528652, 0.0000160336277, 0.4589391201203, 0.0135243541343, 0.0449140171375, 5.6080652786966 , , 0.4611769434536, 0.2681013654237,2801.2386141758 
 0.0003086419753, 0.0000000000000, 0.0000000000000, 3.9721478562500, 6.8093963250000 , , 0.3879811490161, 0.5874263935394, 0.0004329079489, 1.8283165469064, 0.1217191872083, 0.4042261542372,50.472587508269 , , 1.0418706044412, 0.6881307320934,933.74620472526 
 0.0012345679012, 0.0000003431311, 0.0000236353915, 3.9721714916415, 6.8094199603915 , , 0.7687831948730, 1.1017486386887, 0.0022494556872, 3.6228023957716, 0.3651575616248, 1.2126784627117,151.41776252481 , , 1.5773998063421, 1.1006852381093,539.09862265292 
 0.0027777777778, 0.0000003431311, 0.0000236353915, 3.9721714916415, 6.8094199603915 , , 1.1137768242422, 1.5309199146912, 0.0056687434690, 5.2485451999064, 0.6762004854801, 2.2456437285533,280.39613076417 , , 2.0162421049489, 1.4668590479511,396.14488481243 
 0.0049382716049, 0.0000013007109, 0.0000838686214, 3.9722317248714, 6.8094801936214 , , 1.4885194754149, 1.9979706799241, 0.0226731176637, 7.0144768481532, 1.1309646873230, 3.7558605670786,468.96520463511 , , 2.5232189629441, 1.8798376797108,165.65258570895 
 0.0077160493827, 0.0000013007109, 0.0000838686214, 3.9722317248714, 6.8094801936214 , , 1.7563054617608, 2.3427979696470, 0.0510129798797, 8.2763875134194, 1.5201503153504, 5.0481384836694,630.32193414513 , , 2.8742941325301, 2.1547476773809,98.957921995102 
 0.0111111111111, 0.0000029915100, 0.0001900172870, 3.9723378735370, 6.8095863422870 , , 1.9966585589252, 2.6479820230829, 0.0906880670978, 9.4090238432009, 1.8908709349703, 6.2787555657917,783.97955306835 , , 3.1446315834648, 2.3711473533652,69.234638764738 
 0.0151234567901, 0.0000029915100, 0.0001900172870, 3.9723378735370, 6.8095863422870 , , 2.2254189303859, 2.9356831098531, 0.1416981987893,10.487030786267, 2.2554579197398, 7.4884047062143,935.01906759331 , , 3.3649415864884, 2.5508218789286,52.847564543487 
 0.0197530864198, 0.0000053627740, 0.0003389929537, 3.9724868492037, 6.8097353179537 , , 2.4501970329001, 3.2167248256847, 0.2040432197081,11.546271744883, 2.6210239549762, 8.7003732233345,1086.3481847135 , , 3.5508871762188, 2.7047303374738,42.639854614051 
 0.0250000000000, 0.0000053627740, 0.0003389929537, 3.9724868492037, 6.8097353179537 , , 2.6762261827358, 3.4971111773011, 0.2777230011050,12.611408120131, 2.9920384124970, 9.9290958825423,1239.7692617274 , , 3.7101108817313, 2.8392279739317,35.751795288966 
 0.0308641975309, 0.0000084041254, 0.0005303773937, 3.9726782336437, 6.8099267023937 , , 2.9051873676273, 3.7803869431972, 0.3627374453392,13.690361373396, 3.3713489334236,11.183547383635,1396.4028998532 , , 3.8495098485743, 2.9583075890577,30.830970243990 
 0.0373456790123, 0.0000101754697, 0.0006419382668, 3.9727897945168, 6.8100382632668 , , 3.1355624985814, 4.0687102154492, 0.4590864889472,14.775977684878, 3.7607213269354,12.469035380749,1556.9118247337 , , 3.9766502458141, 3.0646162347476,27.160536589396 
 0.0444444444444, 0.0000121150457, 0.0007641245250, 3.9729119807750, 6.8101604495250 , , 3.3479072145342, 4.3634177117334, 0.5667701025425,15.776627739163, 4.1611857690173,13.788350184326,1721.6444408112 , , 4.1184983037961, 3.1599885904227,24.327942004126 
 0.0521604938272, 0.0000142227993, 0.0008969207534, 3.9730447770034, 6.8102932457534 , , 3.5523426529382, 4.6653510287480, 0.6857882876216,16.740006232566, 4.5732864794011,15.142593939052,1890.7383643524 , , 4.2627064499331, 3.2457566098978,22.080566571892 
 0.0604938271605, 0.0000164987225, 0.0010403268018, 3.9731881830518, 6.8104366518018 , , 3.7678985889797, 4.9750630193851, 0.8161410705742,17.755788792229, 4.9972874680861,16.531863898781,2064.2057386922 , , 4.3875554260226, 3.3229456258876,20.256135237932 
 0.0694444444444, 0.0001772002541, 0.0060339647947, 3.9781818210447, 6.8154302897947 , , 3.9945640200369, 5.2929371512655, 0.9578284966779,18.823923569562, 5.4333029995782,17.955685693921,2241.9873329758 , , 4.4950301469333, 3.3923859627973,18.746242940357 
 0.0790123456790, 0.0002016125669, 0.0068652489992, 3.9790131052492, 6.8162615739992 , , 4.2323111241833, 5.6192527612953, 1.1108506248967,19.944279456935, 5.8813756199805,19.413272460845,2423.9848976393 , , 4.5869199808866, 3.4547782926872,17.476042256042 
 0.0891975308642, 0.0002276012256, 0.0077502074396, 3.9798980636896, 6.8171465324396 , , 4.4811123897591, 5.9542375929604, 1.2752075221038,21.116726808815, 6.3415571027455,20.903793667253,2610.0947305503 , , 4.6648670796622, 3.5107422807527,16.392464210662 
24.544444444445, 0.2171009584710, 6.8225579507079,10.794705806958,13.631954275708 , , 4.7409366522262, 6.2980702111676, 1.4508992617776,22.341118765901, 6.8138869102535,22.426303591964,2800.1987468334 , , 4.7303529317215, 3.5608214643587,15.456830245050 
