"Shim ReStackor Calc", , , , , ,"ReStackor pro Calc"
" Fstack"," Yport"," A.clsd"," A.clk"," A.wo", ," U.clk"," U.wo"," U.clsd"," Gv"," Fstack"," Fshaft"," Pressure",          ," C.clk"," C.wo"," C.clsd"
" [kgf]"," [mm]"," [mm2]"," [mm2]"," [mm2]", ," [m/sec]"," [m/sec]"," [m/sec]"," [L/min]"," [kgf]"," [kgf]"," [kpa]", ," [kgf-s/m]"," [kgf-s/m]"," [kgf-s/m]"
 0.0000000000000, 0.0000000000000, 0.0000000000000, 3.9721471586847, 6.8093956274347 , , 0.2391606186690, 0.3789153956808, 0.0000020036490, 1.1270169120063, 0.0562851813533, 0.1869219243576,23.339492225974 , , 0.7815748487270, 0.4933078108948,93290.755196189 
 0.0003086419753, 0.0000000000000, 0.0000000008076, 3.9721478570576, 6.8093963258076 , , 0.9336708418764, 1.3186951979666, 0.0000540985218, 4.3998164701955, 0.5065666321793, 1.6822973192188,210.05543003377 , , 1.8018098496447, 1.2757287065373,31096.918398730 
 0.0012345679012, 0.0000001120200, 0.0000020959263, 3.9721499521763, 6.8093984209263 , , 1.7051134123775, 2.2914635993139, 0.0002811041653, 8.0351508677864, 1.5196998965379, 5.0468919576565,630.16629010130 , , 2.9598570517486, 2.2024752909746,17953.814208474 
 0.0027777777778, 0.0000005821161, 0.0000214546571, 3.9721693109071, 6.8094177796571 , , 2.3283632404372, 3.1237118045538, 0.0007083968823,10.972144008788, 2.8142590676628, 9.3460962194646,1166.9746114963 , , 4.0140198303893, 2.9919841535444,13193.305126482 
 0.0049382716049, 0.0000007897416, 0.0000257113192, 3.9721735675692, 6.8094220363192 , , 3.3526659918467, 4.9684790847591, 0.0028329872456,15.799052929988, 7.0856056295900,23.531151460814,2938.1525386881 , , 7.0186387543641, 4.7360874544076,8306.1268621435 
 0.0077160493827, 0.0000012339727, 0.0000401740084, 3.9721880302584, 6.8094364990084 , , 4.0181674917672, 6.2411938469500, 0.0063741106766,18.935152215691,11.148993127751,37.025576454826,4623.0968186278 , , 9.2145428309517, 5.9324509641565,5808.7438912833 
 0.0111111111111, 0.0000017769217, 0.0000578506272, 3.9722057068772, 6.8094541756272 , , 4.4518966082849, 7.0396790290485, 0.0113319502724,20.979050798433,14.153436392224,47.003263702284,5868.9333075549 , ,10.558031292733, 6.6769043742378,4147.8529796369 
 0.0151234567901, 0.0000024185898, 0.0000787412278, 3.9722265974778, 6.8094750662278 , , 4.8264191572930, 7.7158299525279, 0.0177064409744,22.743945240540,16.966818512870,56.346431430015,7035.5422609814 , ,11.674583079854, 7.3027051887728,3182.2561920543 
 0.0197530864198, 0.0000031589775, 0.0001028458394, 3.9722507020894, 6.8094991708394 , , 5.1605899418992, 8.3107076459220, 0.0254975995586,24.318686633356,19.641638510993,65.229422630464,8144.6925373802 , ,12.639915855523, 7.8488409663251,2558.2573951906 
 0.0250000000000, 0.0000039980854, 0.0001301644958, 3.9722780207458, 6.8095264894958 , , 5.4494998148050, 8.8190427489640, 0.0347054650852,25.680141184790,22.069028552458,73.290683053313,9151.2396592184 , ,13.449066069183, 8.3105032076098,2111.7908339023 
 0.0308641975309, 0.0000049359143, 0.0001606972335, 3.9723085534835, 6.8095570222335 , , 5.7127272720655, 9.2778013747210, 0.0453300302351,26.920570305972,24.368428059697,80.926861093893,10104.710037970 , ,14.166064165117, 8.7226335017682,1785.2814276572 
 0.0373456790123, 0.0000059724650, 0.0001944440908, 3.9723423003408, 6.8095907690908 , , 5.9605612104119, 9.7062226895613, 0.0573712910743,28.088459239527,26.606624868822,88.359749128425,11032.797168972 , ,14.824065387346, 9.1034125173589,1540.1387605864 
 0.0444444444444, 0.0000071077381, 0.0002314051060, 3.9723792613560, 6.8096277301060 , , 6.1960228871687,10.110224197839, 0.0708292527650,29.198045313150,28.794979760788,95.627066238552,11940.210741662 , ,15.433620562730, 9.4584515998160,1350.1069474186 
 0.0521604938272, 0.0000083417345, 0.0002715803163, 3.9724194365663, 6.8096679053163 , , 6.4213878494276,10.494210560403, 0.0857039195832,30.260051780825,30.942452058047,102.75855514972,12830.664499688 , ,16.002546109853, 9.7919280881834,1198.9948143497 
 0.0604938271605, 0.0000096744548, 0.0003149697568, 3.9724628260068, 6.8097112947568 , , 6.6384127384401,10.861549284357, 0.1019952951441,31.282756612434,33.056232953070,109.77808550567,13707.138860499 , ,16.536797248233,10.107037461385,1076.3053859549 
 0.0694444444444, 0.0000111058997, 0.0003615734599, 3.9725094297099, 6.8097578984599 , , 6.8485008321011,11.214906997737, 0.1197033824930,32.272772593681,35.142390696986,116.70579652045,14572.148451690 , ,17.041072109302,10.406309793207,974.95821830500 
 0.0790123456790, 0.0000126360696, 0.0004113914542, 3.9725592477042, 6.8098077164542 , , 7.0527659518704,11.556387137220, 0.1388281843201,33.235348480105,37.205820604340,123.55793095094,15427.721380448 , ,17.519074331139,10.691743836877,890.00610039008 
 0.0891975308642, 0.0000142649652, 0.0004644237649, 3.9726122800149, 6.8098607487649 , , 7.2521397413779,11.887736287908, 0.1593697029018,34.174874535173,39.250902322882,130.34901783128,16275.671774679 , ,17.973870123814,10.964999111216,817.90337471854 
1217.3444444443, 0.2043685685005, 6.8132678114034,10.785415667653,13.622664136403 , , 7.4473832834766,12.210374602073, 0.1813279402885,35.094937274306,41.281266801267,137.09109868584,17117.503166222 , ,18.407955313647,11.227427753328,756.03957375619 
1218.5706790122, 0.2045754394997, 6.8201384123323,10.792286268582,13.629534737332 , , 7.6391422919381,12.525501732289, 0.2047028982722,35.998579549395,43.300149322167,143.79489985276,17954.554869801 , ,18.823435191738,11.480170848731,702.45658985041 
1218.5706790122, 0.2045754394997, 6.8201384123323,10.792286268582,13.629534737332 , , 7.8279635228019,12.834127640902, 0.2294945784576,36.888377885399,45.310379038468,150.46979775625,18787.997646849 , ,19.222087241203,11.724193647312,655.65730906385 
1218.5706790122, 0.2045754394997, 6.8201384123323,10.792286268582,13.629534737332 , , 8.0143092288795,13.137104415904, 0.2557029823174,37.766510595533,47.314388085088,157.12384917474,19618.837484854 , ,19.605413852580,11.960310598165,614.47796873827 
1218.5706790122, 0.2045754394997, 6.8201384123323,10.792286268582,13.629534737332 , , 8.1985829321947,13.435173804831, 0.2833281111624,38.634879230930,49.314402584570,163.76442556504,20447.994800509 , ,19.974723305165,12.189230146480,578.00274350881 
1218.5706790122, 0.2045754394997, 6.8201384123323,10.792286268582,13.629534737332 , , 8.3811376572564,13.728980925782, 0.3123699661724,39.495147378990,51.312451891722,170.39824375719,21276.308272331 , ,20.331159172605,12.411572619873,545.50136764150 
